,0,1,2,3,year,scenario_price
0,13.0,16.0,13.142857142857142,10,2025,mid
0,13.0,10.0,13.142857142857142,16,2025,high
0,15.0,12.142857142857142,16.0,9,2025,low
0,16.0,11.142857142857142,16.0,9,2030,mid
0,13.0,10.0,13.142857142857142,16,2030,high
0,15.0,12.142857142857142,16.0,9,2030,low
0,13.142857142857142,16.0,13.0,10,2035,mid
0,19.0,14.0,12.142857142857142,7,2035,high
0,15.0,12.142857142857142,16.0,9,2035,low
0,18.0,15.0,12.142857142857142,7,2040,mid
0,17.142857142857142,15.0,13.0,7,2040,high
0,15.0,12.142857142857142,16.0,9,2040,low
0,18.0,15.0,12.142857142857142,7,2045,mid
0,17.142857142857142,15.0,13.0,7,2045,high
0,15.0,12.142857142857142,16.0,9,2045,low
0,18.0,15.0,12.142857142857142,7,2050,mid
0,17.142857142857142,15.0,13.0,7,2050,high
0,15.0,12.142857142857142,16.0,9,2050,low
