2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
475.0597147,438.3368307,513.7279892,533.0621265,552.3962638,571.730401,591.0645383,610.3986755,661.7433551,713.0880347,764.4327142,815.7773938,867.1220734,918.4667529,969.8114325,1021.156112,1072.500792,1123.845471,1142.950844,1162.381009,1182.141486,1202.237891,1222.675935,1243.461426,1264.60027,1286.098475,1307.962149,1330.197505
461.554838,425.8759028,499.1238606,517.9083719,536.6928833,555.4773946,574.2619059,593.0464172,662.5361359,732.0258545,801.5155731,871.0052917,940.4950104,1009.984729,1079.474448,1148.964166,1218.453885,1287.943604,1309.838645,1332.105902,1354.751702,1377.782481,1401.204783,1425.025264,1449.250694,1473.887956,1498.944051,1524.4261
398.4805842,367.6773908,430.9155732,447.1330677,463.3505622,479.5680567,495.7855512,512.0030457,564.3955975,616.7881494,669.1807013,721.5732532,773.9658051,826.3583569,878.7509088,931.1434607,983.5360126,1035.928564,1053.53935,1071.449519,1089.664161,1108.188452,1127.027655,1146.187125,1165.672307,1185.488736,1205.642044,1226.137959
394.4211274,363.9317366,426.5256902,442.5779716,458.630253,474.6825344,490.7348158,506.7870972,552.1615723,597.5360474,642.9105225,688.2849976,733.6594727,779.0339478,824.4084229,869.7828979,915.157373,960.5318481,976.8608896,993.4675247,1010.356473,1027.532533,1045.000586,1062.765596,1080.832611,1099.206765,1117.89328,1136.897466
460.7339886,425.1185065,498.2361969,516.987301,535.7384051,554.4895093,573.2406134,591.9917175,621.5855463,651.179375,680.7732037,710.3670325,739.9608612,769.5546899,799.1485187,828.7423474,858.3361761,887.9300049,903.024815,918.3762368,933.9886328,949.8664396,966.0141691,982.43641,999.1378289,1016.123172,1033.397266,1050.965019
570.4172616,526.3230851,616.8473221,640.0623523,663.2773825,686.4924127,709.7074429,732.9224731,790.6505725,848.3786719,906.1067712,963.8348706,1021.56297,1079.291069,1137.019169,1194.747268,1252.475367,1310.203467,1332.476926,1355.129033,1378.166227,1401.595053,1425.422169,1449.654346,1474.29847,1499.361544,1524.85069,1550.773151
661.163508,610.0545,714.9800099,741.8882609,768.7965118,795.7047628,822.6130137,849.5212646,925.1811646,1000.841064,1076.500964,1152.160864,1227.820764,1303.480664,1379.140564,1454.800464,1530.460364,1606.120264,1633.424308,1661.192521,1689.432794,1718.153152,1747.361755,1777.066905,1807.277043,1838.000752,1869.246765,1901.02396
844.1801218,778.9236337,912.893565,947.2502866,981.6070081,1015.96373,1050.320451,1084.677173,1212.394941,1340.11271,1467.830479,1595.548247,1723.266016,1850.983784,1978.701553,2106.419321,2234.13709,2361.854858,2402.006391,2442.8405,2484.368788,2526.603058,2569.55531,2613.23775,2657.662792,2702.843059,2748.791391,2795.520845
902.1181319,832.3829419,975.5475356,1012.262237,1048.976939,1085.691641,1122.406343,1159.121045,1287.055308,1414.98957,1542.923833,1670.858096,1798.792358,1926.726621,2054.660884,2182.595146,2310.529409,2438.463672,2479.917554,2522.076153,2564.951447,2608.555622,2652.901067,2698.000386,2743.866392,2790.512121,2837.950827,2886.195991
905.1066539,835.1404463,978.7793134,1015.615643,1052.451973,1089.288302,1126.124632,1162.960962,1303.484475,1444.007988,1584.531501,1725.055015,1865.578528,2006.102041,2146.625554,2287.149067,2427.672581,2568.196094,2611.855427,2656.25697,2701.413338,2747.337365,2794.0421,2841.540816,2889.84701,2938.974409,2988.936974,3039.748902
769.2779366,709.8115085,831.894592,863.2029197,894.5112474,925.8195751,957.1279028,988.4362305,1132.052629,1275.669028,1419.285427,1562.901826,1706.518225,1850.134624,1993.751023,2137.367422,2280.983821,2424.60022,2465.818423,2507.737337,2550.368871,2593.725142,2637.81847,2682.661384,2728.266627,2774.64716,2821.816161,2869.787036
755.5680305,697.1614002,817.0687452,847.8191026,878.56946,909.3198174,940.0701748,970.8205322,1099.99292,1229.165308,1358.337695,1487.510083,1616.682471,1745.854858,1875.027246,2004.199634,2133.372021,2262.544409,2301.007664,2340.124794,2379.906916,2420.365334,2461.511544,2503.35724,2545.914314,2589.194857,2633.211169,2677.975759
