2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
541.6848921,495.084779,559.3050603,568.1151444,576.9252286,585.7353127,594.5453968,603.355481,606.5247113,609.6939417,612.863172,616.0324023,619.2016327,622.370863,625.5400934,628.7093237,631.8785541,635.0477844,645.8435968,656.8229379,667.9889278,679.3447396,690.8936002,702.6387914,714.5836509,726.7315729,739.0860097,751.6504718
519.7286881,475.0174251,536.6346551,545.0876387,553.5406222,561.9936057,570.4465892,578.8995728,584.7393005,590.5790283,596.4187561,602.2584839,608.0982117,613.9379395,619.7776672,625.617395,631.4571228,637.2968506,648.130897,659.1491223,670.3546574,681.7506866,693.3404482,705.1272358,717.1143989,729.3053436,741.7035345,754.3124946
469.2890804,428.9170403,484.5543254,492.1869479,499.8195703,507.4521928,515.0848153,522.7174377,530.0977936,537.4781494,544.8585052,552.2388611,559.6192169,566.9995728,574.3799286,581.7602844,589.1406403,596.5209961,606.661853,616.9751045,627.4636813,638.1305639,648.9787835,660.0114228,671.231617,682.6425545,694.2474779,706.049685
468.3220083,428.0331635,483.5557959,491.1726897,498.7895835,506.4064773,514.0233711,521.6402649,527.1956348,532.7510046,538.3063745,543.8617444,549.4171143,554.9724841,560.527854,566.0832239,571.6385938,577.1939636,587.006261,596.9853674,607.1341187,617.4553987,627.9521405,638.6273269,649.4839914,660.5252193,671.754148,683.1739685
528.2806328,482.8336624,545.4647813,554.0568555,562.6489298,571.2410041,579.8330783,588.4251526,592.8134186,597.2016846,601.5899506,605.9782166,610.3664825,614.7547485,619.1430145,623.5312805,627.9195465,632.3078125,643.0570453,653.9890151,665.1068283,676.4136444,687.9126764,699.6071919,711.5005141,723.5960229,735.8971553,748.4074069
638.4324556,583.509335,659.1996718,669.5832799,679.966888,690.3504962,700.7341043,711.1177124,714.8879712,718.65823,722.4284888,726.1987476,729.9690063,733.7392651,737.5095239,741.2797827,745.0500415,748.8203003,761.5502454,774.4965996,787.6630418,801.0533135,814.6712198,828.5206305,842.6054813,856.9297744,871.4975806,886.3130395
716.3867838,654.7574018,739.6897333,751.341208,762.9926827,774.6441575,786.2956322,797.9471069,797.8258972,797.7046875,797.5834778,797.4622681,797.3410583,797.2198486,797.0986389,796.9774292,796.8562195,796.7350098,810.2795049,824.0542565,838.0631789,852.3102529,866.7995272,881.5351192,896.5212162,911.7620769,927.2620322,943.0254867
832.6483221,761.0171827,859.7330788,873.2754572,886.8178356,900.360214,913.9025923,927.4449707,925.8313306,924.2176904,922.6040503,920.9904102,919.37677,917.7631299,916.1494897,914.5358496,912.9222095,911.3085693,926.800815,942.5564289,958.5798882,974.8757463,991.4486339,1008.303261,1025.444416,1042.876971,1060.60588,1078.63618
870.6764422,795.7738165,898.9981946,913.1590708,927.319947,941.4808233,955.6416995,969.8025757,967.268092,964.7336084,962.1991248,959.6646411,957.1301575,954.5956738,952.0611902,949.5267065,946.9922229,944.4577393,960.5135208,976.8422507,993.4485689,1010.337195,1027.512927,1044.980647,1062.745318,1080.811988,1099.185792,1117.87195
874.5056826,799.2736347,902.9519943,917.1751501,931.3983059,945.6214618,959.8446176,974.0677734,976.2172656,978.3667578,980.51625,982.6657422,984.8152344,986.9647266,989.1142188,991.2637109,993.4132031,995.5626953,1012.487261,1029.699545,1047.204437,1065.006912,1083.11203,1101.524934,1120.250858,1139.295123,1158.66314,1178.360413
796.6197843,728.088111,822.5325887,835.4889909,848.4453931,861.4017952,874.3581974,887.3145996,895.0799255,902.8452515,910.6105774,918.3759033,926.1412292,933.9065552,941.6718811,949.437207,957.202533,964.9678589,981.3723125,998.0556418,1015.022588,1032.277972,1049.826697,1067.673751,1085.824205,1104.283216,1123.056031,1142.147984
776.7788492,709.9540536,802.0462588,814.6799636,827.3136684,839.9473732,852.5810779,865.2147827,874.9127991,884.6108154,894.3088318,904.0068481,913.7048645,923.4028809,933.1008972,942.7989136,952.4969299,962.1949463,978.5522604,995.1876488,1012.105839,1029.311638,1046.809936,1064.605705,1082.704002,1101.10997,1119.828839,1138.86593
742.9846424,679.0670975,767.1527789,779.2368471,791.3209154,803.4049836,815.4890519,827.5731201,836.6740686,845.7750171,854.8759656,863.9769141,873.0778625,882.178811,891.2797595,900.380708,909.4816565,918.582605,934.1985093,950.0798839,966.2312419,982.6571731,999.362345,1016.351505,1033.62948,1051.201182,1069.071602,1087.245819
758.4288745,693.182692,783.0993879,795.4346446,807.7699013,820.105158,832.4404147,844.7756714,853.2006995,861.6257275,870.0507556,878.4757837,886.9008118,895.3258398,903.7508679,912.175896,920.6009241,929.0259521,944.8193933,960.881323,977.2163055,993.8289827,1010.724075,1027.906385,1045.380793,1063.152267,1081.225855,1099.606695
756.7750477,691.6711408,781.3917647,793.7001232,806.0084817,818.3168402,830.6251986,842.9335571,850.3120544,857.6905518,865.0690491,872.4475464,879.8260437,887.204541,894.5830383,901.9615356,909.340033,916.7185303,932.3027453,948.151892,964.2704741,980.6630722,997.3343444,1014.289028,1031.531942,1049.067985,1066.90214,1085.039477
752.079002,687.3790869,776.5429639,788.7749449,801.0069258,813.2389068,825.4708877,837.7028687,845.7080505,853.7132324,861.7184143,869.7235962,877.7287781,885.73396,893.7391418,901.7443237,909.7495056,917.7546875,933.3565172,949.223578,965.3603788,981.7715052,998.4616208,1015.435468,1032.697871,1050.253735,1068.108049,1086.265885
736.0870999,672.7629374,760.03087,772.0027551,783.9746402,795.9465253,807.9184103,819.8902954,827.341322,834.7923486,842.2433752,849.6944019,857.1454285,864.5964551,872.0474817,879.4985083,886.9495349,894.4005615,909.6053711,925.0686624,940.7948296,956.7883417,973.0537436,989.5956572,1006.418783,1023.527903,1040.927877,1058.623651
756.839642,691.7301781,781.4584601,793.7678691,806.0772782,818.3866873,830.6960963,843.0055054,847.7151758,852.4248462,857.1345166,861.844187,866.5538574,871.2635278,875.9731982,880.6828687,885.3925391,890.1022095,905.233947,920.6229241,936.2735138,952.1901636,968.3773964,984.8398121,1001.582089,1018.608984,1035.925337,1053.536068
737.2213345,673.799596,761.2019995,773.192332,785.1826645,797.1729971,809.1633296,821.1536621,829.6688904,838.1841187,846.6993469,855.2145752,863.7298035,872.2450317,880.76026,889.2754883,897.7907166,906.3059448,921.7131459,937.3822694,953.3177679,969.52417,986.0060809,1002.768184,1019.815243,1037.152103,1054.783688,1072.715011
727.1268384,664.5735101,750.7791452,762.6052986,774.431452,786.2576053,798.0837587,809.9099121,822.0618848,834.2138574,846.3658301,858.5178027,870.6697754,882.821748,894.9737207,907.1256934,919.277666,931.4296387,947.2639425,963.3674296,979.7446759,996.4003353,1013.339141,1030.565906,1048.085527,1065.902981,1084.023331,1102.451728
659.5052837,602.7693081,680.9579663,691.6843076,702.4106489,713.1369902,723.8633315,734.5896729,744.8961987,755.2027246,765.5092505,775.8157764,786.1223022,796.4288281,806.735354,817.0418799,827.3484058,837.6549316,851.8950655,866.3772816,881.1056954,896.0844922,911.3179286,926.8103334,942.566109,958.5897329,974.8857583,991.4588162
630.9099525,576.6339784,651.4324734,661.6937338,671.9549943,682.2162547,692.4775152,702.7387756,711.8350458,720.9313159,730.0275861,739.1238562,748.2201263,757.3163965,766.4126666,775.5089368,784.6052069,793.7014771,807.1944022,820.916707,834.872291,849.06512,863.499227,878.1787139,893.107752,908.2905838,923.7315237,939.4349596
631.5944441,577.2595845,652.1392304,662.4116236,672.6840168,682.9564099,693.2288031,703.5011963,710.5579858,717.6147754,724.6715649,731.7283545,738.785144,745.8419336,752.8987231,759.9555127,767.0123022,774.0690918,787.2282664,800.6111469,814.2215364,828.0633025,842.1403786,856.4567651,871.0165301,885.8238111,900.8828159,916.1978238
616.9373868,563.8634458,637.0054019,647.0394094,657.0734169,667.1074244,677.1414319,687.1754395,689.611524,692.0476086,694.4836932,696.9197778,699.3558624,701.791947,704.2280316,706.6641162,709.1002008,711.5362854,723.6324023,735.9341531,748.4450337,761.1685993,774.1084655,787.2683094,800.6518706,814.2629524,828.1054226,842.1832148
617.2372283,564.1374925,637.3149967,647.3538809,657.3927651,667.4316493,677.4705335,687.5094177,691.5519305,695.5944434,699.6369562,703.679469,707.7219818,711.7644946,715.8070074,719.8495203,723.8920331,727.9345459,740.3094332,752.8946935,765.6939033,778.7106997,791.9487816,805.4119109,819.1039134,833.0286799,847.1901674,861.5924003
575.8424222,526.3038023,594.5736819,603.9393117,613.3049416,622.6705714,632.0362012,641.4018311,646.4557294,651.5096277,656.563526,661.6174243,666.6713226,671.7252209,676.7791193,681.8330176,686.8869159,691.9408142,703.7038081,715.6667728,727.8331079,740.2062708,752.7897774,765.5872036,778.602186,791.8384232,805.2996764,818.9897709
508.5973475,464.8436924,525.1412293,533.4131702,541.6851111,549.957052,558.2289929,566.5009338,570.9684113,575.4358887,579.9033661,584.3708435,588.8383209,593.3057983,597.7732758,602.2407532,606.7082306,611.175708,621.565695,632.1323119,642.8785612,653.8074967,664.9222241,676.225902,687.7217423,699.4130119,711.3030331,723.3951847
506.5014492,462.9281003,522.9771547,531.2150074,539.4528602,547.690713,555.9285657,564.1664185,568.0491711,571.9319238,575.8146765,579.6974292,583.5801819,587.4629346,591.3456873,595.2284399,599.1111926,602.9939453,613.2448424,623.6700047,634.2723948,645.0550255,656.0209609,667.1733173,678.5152637,690.0500231,701.7808735,713.7111484
574.5278685,525.1023371,593.2163678,602.5606174,611.9048671,621.2491167,630.5933663,639.937616,643.8605554,647.7834949,651.7064343,655.6293738,659.5523132,663.4752527,667.3981921,671.3211316,675.244071,679.1670105,690.7128497,702.4549681,714.3967026,726.5414465,738.8926511,751.4538262,764.2285412,777.2204264,790.4331737,803.8705376
687.1727059,628.056555,709.5253668,720.7016973,731.8780277,743.0543582,754.2306886,765.407019,772.2095715,779.012124,785.8146765,792.617229,799.4197815,806.222334,813.0248865,819.827439,826.6299915,833.4325439,847.6008972,862.0101124,876.6642844,891.5675772,906.724226,922.1385378,937.814893,953.7577462,969.9716279,986.4611455
785.4670018,717.894781,811.0170235,823.7920343,836.5670451,849.342056,862.1170668,874.8920776,882.9511865,891.0102954,899.0694043,907.1285132,915.1876221,923.246731,931.3058398,939.3649487,947.4240576,955.4831665,971.7263803,988.2457288,1005.045906,1022.131687,1039.507925,1057.17956,1075.151613,1093.42919,1112.017486,1130.921783
926.8735657,847.1364093,957.0233233,972.0982021,987.1730809,1002.24796,1017.322838,1032.397717,1042.150549,1051.903381,1061.656213,1071.409045,1081.161877,1090.914709,1100.667542,1110.420374,1120.173206,1129.926038,1149.13478,1168.670072,1188.537463,1208.7426,1229.291224,1250.189175,1271.442391,1293.056911,1315.038879,1337.39454
