,TimeStep,Load Profile
0,0,1415.1456962246725
0,1,1421.4588744052426
0,2,1445.520496847174
0,3,1493.875564671507
0,4,1534.0488814761338
0,5,1490.4951465352503
0,6,1456.1044131638243
0,7,1501.836484355679
0,8,1596.5701295894733
0,9,1606.8117353528353
0,10,1599.851623281305
0,11,1551.3836416971733
0,12,1543.9083511038139
0,13,1552.0461357037761
0,14,1600.0314859075313
0,15,1594.3788032599402
0,16,1584.3394710060325
0,17,1492.9822469612463
0,18,1598.111951990964
0,19,1572.0118864517924
0,20,1515.3131912441486
0,21,1439.4001713713915
0,22,1395.6236066213496
0,23,1325.6130785992782
1,0,1917.420073858243
1,1,1975.6227223906626
1,2,2012.0058320438047
1,3,2110.1039076248567
1,4,2116.4780392509815
1,5,2118.284659407752
1,6,2119.65261460389
1,7,2098.588702599076
1,8,2110.9142886796917
1,9,2109.0257311043074
1,10,2043.5537366840317
1,11,2035.2240986160944
1,12,2132.5957290345514
1,13,2179.372002695336
1,14,2206.4013584700137
1,15,2235.418196264501
1,16,2273.637005864127
1,17,2220.8992853807276
1,18,2173.097794750449
1,19,2118.7682900249397
1,20,1968.5650108627208
1,21,1860.2737205586552
1,22,1864.4495311975602
1,23,1887.5239076688683
2,0,1182.9920083693412
2,1,1151.849793874938
2,2,1107.749476397687
2,3,1135.9979010834595
2,4,1274.1753652087752
2,5,1287.68404767524
2,6,1308.375244349039
2,7,1250.4904550451085
2,8,1225.5105339726063
2,9,1280.7923113803063
2,10,1338.1475051736797
2,11,1270.0145431220558
2,12,1244.0493745525548
2,13,1291.3732299865196
2,14,1234.5016668103349
2,15,1210.3361237399167
2,16,1292.5233515575605
2,17,1300.23046509139
2,18,1325.0864807991577
2,19,1297.8312975048834
2,20,1295.4321299183773
2,21,1286.3640558460959
2,22,1279.4493371044775
2,23,1282.589938405765
3,0,1111.2228235574942
3,1,1086.343825403042
3,2,1074.7686661685182
3,3,1086.2149238542459
3,4,1109.9547920425932
3,5,1068.8571811865218
3,6,1064.544475104322
3,7,971.0878545167405
3,8,984.7384286105621
3,9,932.6582059497038
3,10,893.1253999418079
3,11,869.7172783751682
3,12,782.3210290546263
3,13,799.533882384556
3,14,864.4093324278449
3,15,925.0130450982414
3,16,916.9941696789516
3,17,953.8100507940064
3,18,963.1858898044982
3,19,935.4970377336545
3,20,984.907299631853
3,21,1003.4071699761187
3,22,1040.9474977801437
3,23,1023.0391756288027
4,0,1096.1273530329815
4,1,1110.7561799661162
4,2,1123.994069256428
4,3,1099.8744910793787
4,4,1053.7806961614447
4,5,1032.850681889489
4,6,1044.9464435032587
4,7,1073.8583614324466
4,8,1088.6980273329916
4,9,1081.5674734399008
4,10,1076.7451565833912
4,11,1051.016807138422
4,12,1025.9049868066872
4,13,1060.7433782700566
4,14,1081.6823856733238
4,15,1046.2064811236605
4,16,1103.4067932111159
4,17,1126.9568064051127
4,18,1135.9309522170308
4,19,1137.9564052357098
4,20,1145.0200102623714
4,21,1140.3825522161503
4,22,1116.0431419403797
4,23,1110.6182852860086
5,0,224.51206709982583
5,1,219.76968918830568
5,2,219.41995630397523
5,3,219.19312954756663
5,4,219.2700707821193
5,5,227.39586454033304
5,6,228.67488766016996
5,7,228.44706166694897
5,8,232.0053439558077
5,9,236.5718561883503
5,10,235.03203226048421
5,11,228.79579531446697
5,12,223.5368119709502
5,13,226.2037750231725
5,14,227.27795459647302
5,15,225.19854278992577
5,16,224.5800152030671
5,17,238.08769843271952
5,18,230.02485659368529
5,19,225.37340923209106
5,20,245.79181425611202
5,21,244.2439964337469
5,22,235.57062090235308
5,23,232.78774637989545
6,0,388.0301767869099
6,1,402.55408385474516
6,2,364.83789037174256
6,3,360.99682406498243
6,4,390.95694141034915
6,5,377.1854596622305
6,6,356.6711279042216
6,7,350.28400619953624
6,8,329.2900407715885
6,9,299.9084815405855
6,10,300.84976261784044
6,11,317.4091150724786
6,12,318.1455526031973
6,13,313.48211439985454
6,14,309.27732589339075
6,15,327.706250423978
6,16,340.14674873801647
